first_name,second_name,web_name,id,team,total_points,dreamteam_count,element_type,in_dreamteam,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
Laurent,Koscielny,Koscielny,7,1,0,0,2,FALSE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos,Mavropanos,Mavropanos,8,1,0,0,2,FALSE,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,Jenkinson,9,1,0,0,2,FALSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreece,John-Jules,John-Jules,585,1,0,0,4,FALSE,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zech,Medley,Medley,636,1,0,0,2,FALSE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Macey,Macey,646,1,0,0,1,FALSE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Smith,Smith,647,1,0,0,2,FALSE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Chester,Chester,23,2,0,0,2,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre,Green,Green,32,2,0,0,3,FALSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birkir,Bjarnason,Bjarnason,33,2,0,0,3,FALSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovre,Kalinic,Kalinic,474,2,0,0,1,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaine,Hayden,Hayden,659,2,0,0,3,FALSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir,Begovic,Begovic,72,3,0,0,1,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artur,Boruc,Boruc,73,3,0,0,1,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Saydee,Saydee,564,3,0,0,3,FALSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin,Kilkenny,Kilkenny,565,3,0,0,3,FALSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mihai-Alexandru,Dobre,Dobre,574,3,0,0,3,FALSE,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon,Balogun,Balogun,40,4,0,0,2,FALSE,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Clarke,Clarke,43,4,0,0,2,FALSE,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Heriberto,Izquierdo Mena,Izquierdo,51,4,0,0,3,FALSE,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
