id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,ARS,4,1200,1250,1130,1150,1220,1210
2,Aston Villa,AVL,3,1100,1160,1120,1140,1080,1100
3,Brighton,BHA,3,1130,1130,1150,1190,1100,1130
4,Burnley,BUR,2,1060,1070,1040,1090,1040,1080
5,Chelsea,CHE,4,1250,1280,1260,1300,1250,1310
6,Crystal Palace,CRY,3,1090,1110,1030,1120,1010,1020
7,Everton,EVE,3,1250,1130,1130,1100,1200,1140
8,Fulham,FUL,3,1090,1100,1150,1110,1040,1060
9,Leicester,LEI,4,1240,1260,1190,1150,1150,1230
10,Leeds,LEE,3,1160,1170,1060,1150,1210,1170
11,Liverpool,LIV,4,1250,1210,1190,1210,1300,1230
12,Man City,MCI,5,1340,1360,1280,1320,1340,1350
13,Man Utd,MUN,4,1250,1320,1250,1280,1240,1310
14,Newcastle,NEW,2,1050,1070,1050,1060,1030,1110
15,Sheffield Utd,SHU,2,1000,1040,1020,1070,1000,1010
16,Southampton,SOU,3,1060,1100,1030,1110,1110,1160
17,Spurs,TOT,4,1190,1250,1130,1170,1250,1290
18,West Brom,WBA,2,1050,1040,1040,1000,1050,1040
19,West Ham,WHU,4,1230,1260,1140,1190,1260,1290
20,Wolves,WOL,3,1080,1110,1120,1130,1040,1120
