team_id,team_name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,ARS,4,1250,1270,1150,1210,1190,1220
2,Aston Villa,AVL,3,1100,1100,1140,1110,1090,1090
3,Brentford,BRE,2,1060,1070,1120,1150,1080,1120
4,Brighton,BHA,3,1100,1090,1160,1160,1100,1120
5,Burnley,BUR,2,1060,1060,1080,1130,1060,1100
6,Chelsea,CHE,4,1290,1320,1300,1300,1250,1290
7,Crystal Palace,CRY,3,1090,1100,1110,1160,1080,1160
8,Everton,EVE,2,1050,1090,1130,1090,1110,1110
9,Leicester,LEI,3,1090,1200,1100,1080,1150,1160
10,Leeds,LEE,3,1070,1080,1080,1070,1100,1100
11,Liverpool,LIV,5,1340,1360,1300,1350,1340,1350
12,Man City,MCI,5,1350,1370,1340,1360,1340,1360
13,Man Utd,MUN,4,1210,1270,1170,1190,1190,1200
14,Newcastle,NEW,3,1090,1170,1050,1030,1040,1070
15,Norwich,NOR,2,1030,1040,1040,1040,1040,1030
16,Southampton,SOU,3,1080,1110,1090,1140,1120,1090
17,Spurs,TOT,4,1210,1270,1190,1200,1210,1210
18,Watford,WAT,2,1060,1030,1090,1040,1120,1070
19,West Ham,WHU,3,1130,1190,1110,1150,1160,1180
20,Wolves,WOL,3,1200,1170,1150,1160,1080,1100
