Pos,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
G,Leno,4.9,4.9,Arsenal,88,3.134,87,4.038,87,3.834,85,3.484,84,3.466
G,Rúnarsson,4.0,4.0,Arsenal,0,0,1,0.046,1,0.044,3,0.123,4,0.164
M,Willian,6.4,6.4,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Aubameyang,9.9,9.9,Arsenal,69,2.544,70,4.559,68,3.597,68,3.539,66,3.081
D,Cédric,4.5,4.5,Arsenal,17,0.296,19,0.912,17,0.696,19,0.667,19,0.652
F,Lacazette,8.4,8.4,Arsenal,37,1.333,55,3.497,57,2.959,54,2.751,54,2.477
M,Xhaka,5.0,5.0,Arsenal,86,1.981,82,2.744,79,2.336,77,2.206,78,2.159
D,Marí,4.5,4.5,Arsenal,82,1.254,65,3.029,54,2.146,53,1.778,56,1.853
D,Bellerín,4.9,4.9,Arsenal,7,0.12,11,0.528,9,0.36,11,0.384,13,0.444
D,Chambers,4.5,4.5,Arsenal,56,0.968,45,2.375,48,2.109,47,1.747,46,1.653
D,Kolasinac,4.4,4.4,Arsenal,4,0.071,1,0.049,2,0.082,1,0.035,2,0.069
M,Elneny,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Maitland-Niles,5.4,5.4,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Holding,4.4,4.4,Arsenal,74,1.167,35,1.65,36,1.451,28,0.953,28,0.941
M,Partey,5.0,5.0,Arsenal,0,0,26,0.954,52,1.655,71,2.171,70,2.083
D,Tierney,5.0,5.0,Arsenal,63,1.09,82,4.295,80,3.536,79,2.938,78,2.825
M,Pépé,7.3,7.3,Arsenal,75,2.70,75,5.02,75,4.07,75,3.91,75,3.52
M,Torreira,4.5,4.5,Arsenal,4,0.113,2,0.071,2,0.065,1,0.032,1,0.031
M,Willock,6.0,6.0,Newcastle,64,2.632,58,1.803,55,2.261,55,2.118,59,2.098
F,Nketiah,5.5,5.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Smith Rowe,5.5,5.5,Arsenal,58,1.885,54,2.784,54,2.386,45,1.926,46,1.829
M,Saka,6.4,6.4,Arsenal,65,2.205,65,3.854,66,3.228,63,2.967,68,2.878
D,Gabriel,5.0,5.0,Arsenal,0,0,20,0.947,26,1.052,37,1.266,39,1.315
D,Mavropanos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Guendouzi,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Martinelli,5.5,5.5,Arsenal,31,1.158,25,1.618,25,1.31,26,1.306,26,1.189
D,Saliba,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Steer,4.0,4.0,Aston Villa,0,0,1,0.035,1,0.042,1,0.036,1,0.036
M,Hourihane,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
G,Martínez,5.5,5.5,Aston Villa,89,3.903,87,3.158,87,3.734,87,3.173,88,3.284
D,Engels,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
