Pos,Name,BV,SV,Team,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0
M,Aubameyang,11.3,11.3,Arsenal,0,0
D,Cédric,4.6,4.6,Arsenal,0,0
F,Lacazette,8.4,8.4,Arsenal,0,0
D,Mustafi,5.0,5.0,Arsenal,0,0
G,Leno,5.0,5.0,Arsenal,0,0
M,Xhaka,5.2,5.2,Arsenal,0,0
D,Marí,4.4,4.4,Arsenal,0,0
D,Bellerín,5.0,5.0,Arsenal,0,0
G,Martínez,5.4,5.2,Aston Villa,89,3.761
D,Chambers,4.5,4.5,Arsenal,0,0
D,Kolasinac,4.8,4.8,Arsenal,0,0
D,Maitland-Niles,4.6,4.6,West Brom,70,1.115
D,Holding,4.3,4.3,Arsenal,0,0
D,Tierney,5.2,5.2,Arsenal,0,0
M,Pépé,7.6,7.6,Arsenal,0,0
M,Torreira,4.7,4.7,Arsenal,0,0
M,Willock,4.7,4.7,Newcastle,58,1.883
M,Nelson,5.1,5.1,Arsenal,0,0
F,Nketiah,5.3,5.3,Arsenal,0,0
M,Smith Rowe,4.2,4.2,Arsenal,0,0
M,Saka,5.1,5.1,Arsenal,0,0
M,Guendouzi,4.7,4.7,Arsenal,0,0
M,Martinelli,4.9,4.9,Arsenal,0,0
D,Saliba,4.0,4.0,Arsenal,0,0
G,Heaton,4.5,4.5,Aston Villa,0,0
D,El Mohamady,4.2,4.2,Aston Villa,4,0.148
M,Lansbury,4.3,4.3,Aston Villa,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.034
G,Steer,3.9,3.9,Aston Villa,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0
M,Jota,5.9,5.9,Aston Villa,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0
D,Engels,4.4,4.4,Aston Villa,0,0
M,Grealish,7.5,7.5,Aston Villa,54,2.802
M,McGinn,5.5,5.5,Aston Villa,87,2.907
D,Hause,4.4,4.4,Aston Villa,2,0.072
M,Trézéguet,5.2,5.2,Aston Villa,0,0
D,Mings,5.4,5.4,Aston Villa,88,3.106
D,Targett,5.0,5.0,Aston Villa,88,3.388
D,Bree,4.5,4.5,Aston Villa,0,0
M,Nakamba,4.3,4.3,Aston Villa,11,0.368
M,El Ghazi,5.2,5.2,Aston Villa,46,2.626
D,Konsa,4.7,4.7,Aston Villa,88,3.116
D,Guilbert,4.3,4.3,Aston Villa,0,0
